"Design value to translate",翻訳する設計値
"
                    <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.
                ","
                    <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">なぜファイナンスを広告するのか？
                            <あなたがfinance.</strong><br/>PayPalは、資金調達とバイヤーにブラウザを回すのに役立ちます。
                            PayPalクレジットから。あなたの顧客は支払いまでの時間が増え、あなたは前払いで支払いを受けることができます - あなたの追加費用はかかりません。
                            PayPalの無料バナー広告を使用して、顧客がPayPalでチェックアウトした際の支払いオプションとしてPayPal Credit&#174;の資金調達を宣伝しましょう。
                            PayPalの広告プログラムは、追加購入を生成するだけでなく、15％の消費者の平均購入サイズを増加させることが示されている
                            またはそれ以上を参照してください。<a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">詳細を見る</a>。
                "
"
                    Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.
                ","
                    アメリカン・エキスプレス・カードのサポートには追加契約が必要です。詳細は<a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>をご覧ください。
                "
"PayPal Express Checkout Payflow Edition lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.
                            You get paid up front, even though customers have more time to pay. A pre-integrated payment button lets customers pay quickly with PayPal Credit&#174;.
                            <a href=""https://www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Learn More</a>","PayPal Express Checkout Payflow Editionを使用すると、顧客にPayPal Creditを通じて融資を受けることができます。
                            顧客が支払いまでに時間があるにもかかわらず、前払いで支払いを受けることができます。事前に統合された支払いボタンにより、顧客はPayPal Credit&#174;で迅速に支払うことができます。
                            <a href=""https://www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">詳細はこちら</a>"
"Customize Smart Buttons",スマートボタンのカスタマイズ
"Checkout Page",チェックアウトページ
"The installment feature is available only in these locales: en_MX, es_MX, en_BR, pt_BR.","分割払い機能は以下のロケールでのみご利用いただけます: en_MX, es_MX, en_BR, pt_BR"
Pay,支払い方法
"Buy Now",今すぐ買え
PayPal,ペイパル
Installment,インストールメント
"Mexico Installment Period",メキシコ割賦期間
"Brazil Installment Period",ブラジルの分割払い期間
Responsive,レスポンシブ
Shape,形状
Pill,丸薬
Rectangle,長方形
Gold,ゴールド
Blue,ブルー
Silver,シルバー
Black,ブラック
"Product Pages",商品ページ
"Cart Page",カートページ
Features,特徴
"PayPal will automatically display each enabled funding option to eligible buyers. For example, PayPal Credit is only shown to buyers in countries where PayPal Credit is offered and the currency offered by the merchant is USD.",PayPalは、対象となるバイヤーに有効な各資金調達オプションを自動的に表示します。例えば、PayPalクレジットは、PayPalクレジットが提供されている国のバイヤーにのみ表示され、加盟店が提供する通貨はUSDです。
"PayPal Credit",PayPalクレジット
"PayPal Guest Checkout Credit Card Icons",PayPalゲストチェックアウトクレジットカードアイコン
"Elektronisches Lastschriftverfahren - German ELV","電子機器のラストシフト法 - ドイツのELV"
"Please enter at least 0 and at most 65535",最低でも0から65535まで入力してください
"Order is suspended as an account verification transaction is suspected to be fraudulent.",口座確認取引が不正の疑いがあるため、注文が停止されています
"Payment can't be accepted since transaction was rejected by merchant.",取引が加盟店によって拒否されたため、お支払いを受け付けることができません
"Persist Wish List",欲しい物リストを持続させる
"Default Product Price",デフォルト商品価格
"
                        Defines the default product price
                    ","
                        デフォルトの製品価格を定義します。
                    "
Url,Url
"The cart doesn't contain the item",カートには商品が入っていません
"Validated Country Code",有効な国コード
"Validated Vat Number",検証済み関税番号
"Next >","次へ >"
"< Back",<戻る
"Sorry, we had a problem loading our “What’s new” content.","申し訳ありませんが、""新着情報""の読み込みに問題がありました。"
"<![CDATA[
    <p>We’ll try to show it again the next time you sign in to Magento Admin.</p>
    <p>To learn more about new features, see our latest Release Notes in
    <a href=""https://devdocs.magento.com/magento-release-information.html""
    target=""_blank"">DevDocs' Release Information</a>.
    </p>]]>","<!
    <p>次回、Magento Admin.</p>にサインインしたときに再度表示してみます。
    <p>新機能の詳細については、最新のリリースノートを参照してください。
    <a href=""https://devdocs.magento.com/magento-release-information.html""
    target=""_blank"">DevDocsのリリース情報</a>。
    </p>]]>"
"%1 %2","%1 %2"
star,星
stars,星
"You don’t have permission to perform this operation. Selected reviews must be in Pending Status only.",この操作を実行する権限がありません。選択したレビューは保留状態のみにする必要があります。
"You don’t have permission to perform this operation. The selected review must be in Pending Status.",この操作を実行する権限がありません。選択したレビューは保留状態でなければなりません。
"%1 = %2","%1 = %2"
"Are you sure you want to delete these points?",このポイントを削除しても大丈夫ですか？
RMA,RMA
#,#
"The label cannot be created for '%1' because the product does not exist in the system.","製品がシステムに存在しないので、'%1' のラベルを作成できません。"
TRUE,TRUE
FALSE,FALSE
"%customer_name,","%customer_name,"
"Accept or Deny Payment",支払いの承認または拒否
"Allow Zero GrandTotal for Creditmemo",クレジットメモのグランドトータルをゼロにする
"Allow Zero GrandTotal",ゼログランドトータルを許可する
"Email is required field for Admin order creation",管理者注文作成時のメールアドレスは必須項目です
"If set YES Email field will be required during Admin order creation for new Customer.",設定がYESの場合、新規顧客の管理者注文作成時に電子メールフィールドが必要になります。
"Could not save the shipment tracking",出荷追跡を保存できませんでした
"Please enter a coupon code!",クーポンコードを入力してください！
"Reorder is not available.",再注文はできません
"
                    If you select and save the rule you will be able to generate multiple coupon codes.
                ","
                    ルールを選択して保存すると、複数のクーポンコードを生成することができます。
                "
"
                    Usage limit enforced for logged in customers only.
                ","
                    ログインしているお客様にのみ利用制限を実施します。
                "
sales_rule,販売ルール
"Magento\SalesRule\Api\Data\RuleInterface",MagentoonSalesRuleApiDataRuleInterface
"An error occurred during processing; coupon with id %1 expiration date wasn't updated. The error message was: %2","処理中にエラーが発生しました。ID %1 有効期限のクーポンが更新されていませんでした。エラー・メッセージは: %2"
"The cart price rule will be removed from the update and all scheduled changes will be lost.",カートの価格ルールは更新から削除され、予定されていた変更はすべて失われます。
"FTP Host[:Port]",FTPホスト[:ポート]
ASCII,アスキー
"""%1"" must be later than the current date.","""%1""は、現在の日付よりも後でなければなりません。"
"User Expiration",ユーザーの有効期限
"At least one contact information is required.",最低1つの連絡先が必要です
"Contact Information: Email validation failed. Please enter in correct format.",連絡先情報です。電子メールの検証に失敗しました。正しい形式で入力してください。
"Contact Information: Contact Page URL should be in correct format and must start with HTTPS.",連絡先情報。連絡先ページのURLは正しい形式で入力し、HTTPSで始まる必要があります。
"Other Information: Encryption URL should be in correct format and must start with HTTPS.",その他の情報。暗号化URLは正しい形式で、HTTPSで始まる必要があります。
"Other Information: Acknowledgements URL should be in correct format and must start with HTTPS.","その他の情報: 謝辞のURLは正しい形式で、HTTPSで始まる必要があります。謝辞のURLは正しい形式で、HTTPSで開始する必要があります。"
"Other Information: Hiring URL should be in correct format and must start with HTTPS.","その他の情報: 採用URLは正しい形式で、HTTPSで開始する必要があります。採用URLは正しい形式で、HTTPSで開始する必要があります。"
"Other Information: Policy URL should be in correct format and must start with HTTPS.","その他の情報: 採用URLは正しい形式で、HTTPSで開始する必要があります。ポリシーのURLは正しい形式で、HTTPSで開始する必要があります。"
Securitytxt,Securitytxt
Security.txt,Security.txt
"Contact Page",連絡先ページ
"Example: https://example.com/security-contact.html","例: https://example.com/security-contact.html"
"Other Information",その他の情報
Encryption,暗号化
"Example: https://example.com/pgp-key.txt","例: https://example.com/pgp-key.txt"
Acknowledgements,謝辞
"Example: https://example.com/hall-of-fame.html","例: https://example.com/hall-of-fame.html"
Preferred-Languages,希望言語
"Example: en, es, hi, de, fr","例: en, es, hi, de, fr"
Hiring,採用情報
"Example: https://example.com/jobs.html","例: https://example.com/jobs.html"
Policy,方針
Signature,署名
"Read instructions on how to generate signature",署名の生成方法の説明を読む
"We strongly recommend to enable a <a href=""https://devdocs.magento.com/guides/v2.3/security/google-recaptcha.html"" target=_blank"">CAPTCHA solution</a> alongside enabling """"Email to a Friend"""" to ensure abuse of this feature does not occur.""","この機能の悪用が起こらないようにするために、<a href=""https://devdocs.magento.com/guides/v2.3/security/google-recaptcha.html"" target=_blank"">CAPTCHAソリューション</a>を有効にすることを強くお勧めします。"""
"Store Url Options",ストアURLオプション
"Future Update in this time range already exists. 
                            Select a different range to add a new Future Update.","この時間範囲のフューチャーアップデートは既に存在します。
                            別の範囲を選択して、新しい未来の更新を追加してください。"
entity_type,エンティティタイプ
"&copy; Magento Commerce Inc., %1","&copy; Magento Commerce Inc."
"OS X","OS X"
Id,Id
More,More
"By Priority, Then by ID",優先順位で、次にIDで
"By Priority, Then Random",優先順位を決めてからランダムに
"Weighted Random",加重ランダム
"Import/Export Tax Rates",輸出入税率
"Please select a file to import!",インポートするファイルを選択してください！
welcome,歓迎
thumbnail,サムネイル
"This is a demo store. No orders will be fulfilled.",ここはデモ店です。注文が成立することはありません。
"Admin 2 columns with left bar",管理者2列左バー
"Display Report Bugs Link",報告書のバグリンクを表示する
On,オン
Off,オフ
"${ $.visible } out of ${ $.total } visible","${${ $.visible } out of ${ ${ $.total } visible"
"Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","属性コード ""%1"" は無効です。このフィールドでは、文字 (a-z または A-Z)、数字 (0-9)、またはアンダースコア (_) のみを使用してください。"
"If enabled, can be used by functional tests for extended reporting",有効にした場合、拡張報告のための機能テストで使用することができます。
"Use this key to retrieve collected js errors",このキーを使用して収集したjsのエラーを取得する
settings/label,settings/label
settings/confirm/title,settings/confirm/title
settings/confirm/message,settings/confirm/message
settings/callback/provider,settings/callback/provider
settings/callback/target,settings/callback/target
settings/newViewLabel,settings/newViewLabel
settings/title,settings/title
settings/description,settings/description
settings/addButtonLabel,settings/addButtonLabel
"
                        formElements/*[name(.)=../../@formElement]/settings/description
                    ","
                        formElements/*[name(.)=../../@formElement]/settings/description
                    "
"
                        formElements/*[name(.)=../../@formElement]/settings/caption
                    ","
                        formElements/*[name(.)=../../@formElement]/settings/caption
                    "
"
                        formElements/*[name(.)=../../@formElement]/settings/title
                    ","
                        formElements/*[name(.)=../../@formElement]/settings/title
                    "
settings/placeholder,settings/placeholder
settings/caption,settings/caption
settings/subTitle,settings/subTitle
settings/visible,settings/visible
settings/showLabel,settings/showLabel
settings/breakLine,settings/breakLine
settings/required,settings/required
settings/size,settings/size
settings/notice,settings/notice
settings/tooltip/description,settings/tooltip/description
settings/addBefore,settings/addBefore
settings/addAfter,settings/addAfter
"was not uploaded",アップロードされていない
"The file upload field is disabled.",ファイルのアップロード欄が無効になっています
PAK,パック
UPS,無停電電源装置
"When applicable, taxes (sales tax, VAT etc.) are included in the rate",適用される場合、税金（消費税、付加価値税等）は料金に含まれています。
"UPS API endpoint URL's must use ups.com","UPS API エンドポイント URL は ups.com を使用する必要があります"
"For Category",カテゴリーのために
"For Product",製品のために
"Create URL Rewrite",URL書き換えの作成
"We will disable this feature if the value is empty. ",値が空の場合、この機能を無効にします。
USPS,ユーエスピーエス
"Wait loading...",読み込み待ち...
"This feature applies only to CMS, Catalog and Store APIs. Please consult your developers for details on potential security risks.",この機能はCMS、カタログ、ストアAPIにのみ適用されます。潜在的なセキュリティリスクの詳細については、開発者にご相談ください。
"200 OK","200 OK"
FPT,FPT
label_value,label_value
"Inserting a widget does not create a widget instance.",ウィジェットを挿入してもウィジェットのインスタンスは作成されません。
"Are you sure you want to delete the selected widget(s)?",選択したウィジェットを削除しますか？
error-message,error-message
"Product Exception.",製品の例外
"10 by default. Max - 10000","デフォルトでは10 最大 - 10000"
"255 by default. Max - 10000","デフォルトでは255 最大 - 10000"
"Show in Sidebar",サイドバーに表示
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone"">%store_phone</a>"
"Invalid value ""%value"" given for the website ID field.","ウェブサイトIDフィールドに無効な値""%value""が指定されました。"
"You have accepted the invitation to the company",会社への招待を承諾しました
"Error occurred when trying to accept the invitation. Please try again later.",招待を受けようとしたときにエラーが発生しました。後でもう一度お試しください。
"Invitation was sent to an existing customer, they will be added to your organization once they accept the invitation.",招待状は既存の顧客に送信されました。彼らは招待状を受け入れると、あなたの組織に追加されます。
"Already assigned to a company",すでに企業に割り当てられています
"Could not assign to the company",会社に指定できませんでした
"Invalid code provided",無効なコードが提供されました
"Invalid attribute value. Rejected date&time and Rejected Reason can not be null when a company status is changed to Rejected.","無効な属性値です。会社のステータスが Rejected に変更されたときに、Rejected date&time および Rejected Reason を NULL にすることはできません。"
"T: %1","T: %1"
"Assigned to %company_name as Company Admin","会社管理者として %company_name に割り当てられました。"
"Dear %name,","親愛なる %name"
"You've been linked to a company",あなたは会社と繋がっている
"A company has invited you to join",会社があなたを誘っている
"Dear %firstname","親愛なる %firstname"
"%admin has invited you to join %company, click the link below to accept","%admin が %company に参加するように招待しました。"
"Your account is now active",アカウントが有効になりました
"Your account is locked",あなたのアカウントはロックされています
"Your account set inactive",あなたのアカウントは無効に設定されています
"New company registration request",新規会社登録依頼
"Your company account is active",あなたの会社のアカウントは有効です
"Your company registration request (for the <strong>%company_name</strong>)
    has been approved and you have been set as the Company Admin.
    You can now create and manage your company structure.
    Your company members are able to request quotes, create requisition lists,
    and use other B2B features.","あなたの会社登録リクエスト（<strong>%company_name</strong>の場合
    が承認され、あなたが会社管理者として設定されました。
    これで、あなたの会社の構造を作成して管理することができます。
    あなたの会社のメンバーは、見積書を要求したり、要求リストを作成したりすることができます。
    と他のB2B機能を利用することができます。"
"You’re no longer Company Admin",あなたはもう会社の管理者ではありません
"Assigned to %company_name as Sales Representative","営業担当者として %company_name に割り当てられました"
"Your company account blocked",あなたの会社のアカウントはブロックされました
"Your company account <strong>%company_name</strong> has been blocked.
    Your company members can continue using the website,
    but they will not be able to place orders.","あなたの会社のアカウント<strong>%company_name</strong>がブロックされました。
    御社の会員様は引き続きご利用いただけます。
    しかし、彼らは注文をすることができません。"
"Your company account suspended",あなたの会社のアカウントは停止されました
"Your company account <strong>%company_name</strong> has been suspended, pending approval from the seller.",あなたの会社のアカウント<strong>%company_name</strong>は、販売者からの承認を保留し、一時停止されました。
"Your company registration request rejected",あなたの会社の登録要求は拒否されました
"Your company registration request (for the <strong>%company_name</strong>) has been rejected
    for the following reason:","あなたの会社登録要求（<strong>%company_name</strong>の）が拒否されました。
    をクリックしてください。"
"Select Delete to permanently delete the user account and content. User's orders and quotes are still visible for the merchant. Select Set Inactive to temporarily lock the user. The user’s content is still available to parent users.","削除を選択して、ユーザーアカウントとコンテンツを永久に削除します。ユーザーの注文や見積書は、マーチャントにはまだ表示されます。Set Inactiveを選択して、ユーザーを一時的にロックします。ユーザーのコンテンツは、親ユーザーにはまだ利用可能です。"
"Manage Companies",会社の管理
"Company Configuration Section",会社構成課
"Allow Checkout",チェックアウトを許可する
"(Available Credit: %1)","(利用可能なクレジット: %1)"
"Missing parameters to complete action request",アクションリクエストを完了するためのパラメータの欠落
"Company id: %1 (%2)","会社ID: %1 (%2)"
"Error during reimburse: %1","払い戻し中のエラー: %1"
"Could not save company credit limit",会社の与信限度額を節約できなかった
"The selected credit currency is not valid. 
                        Customers will not be able to place orders until you update the credit currency.","選択したクレジット通貨は有効ではありません。
                        お客様は、クレジット通貨を更新するまで注文を行うことができません。"
"Custom Reference Number",カスタム参照番号
"%1 is disabled when the available credit is less than the Order Grand Total.",利用可能なクレジットがオーダー・グランド・トータルよりも少ない場合、%1は無効になります。
"Charged off the company credit: %1","会社のクレジットからのチャージオフ: %1"
"Custom Reference Number: %1","カスタム参照番号: %1"
"Charged off the company credit",会社の債権から請求された
"Selected Payment Methods",選択された支払い方法
"All Shipping Methods",すべての配送方法
"Selected Shipping Methods",選択された配送方法
"B2B Shipping Methods",B2B配送方法
"All Enabled Shipping Methods",すべての有効な配送方法
"Available Shipping Methods",利用可能な配送方法
"This company has no shipping methods. Please contact store administrator.",この会社には発送方法がありません。店舗管理者にお問い合わせください。
"Default B2B Shipping Methods",既定のB2B発送方法
"Applicable Shipping Methods",適用される発送方法
"Shipping Information (View)",配送情報（表示）
"Quote #",引用番号
"Quote %1","引用 %1"
"Please sign in to download.",ダウンロードするにはサインインしてください
"We can't find the file you requested.",要求されたファイルが見つかりません
"Only for use within frontend area",フロントエンドエリア内での使用に限ります
"Negotiable quotes update",交渉可能な見積書の更新
%1%,%1%
"product(s) require attention.",注意が必要な製品
Quote:,引用します。
"Order Number:",注文番号：
"Dear %merchant_name,","親愛なる %merchant_name, "
"Dear %customer_name,","親愛なる %customer_name, "
%quote_id,クオートID
"The maximum allowed file size is %1 MB. Please select a different file.","最大許容ファイル・サイズは%1 MBです。別のファイルを選択してください。"
"The maximum file name length is %1 characters.",ファイル名の最大長は%1文字です。
"The only special symbols that are allowed in the file name are dash (-) and underscore (_).",ファイル名で許可される特殊記号はダッシュ(-)とアンダースコア(_)のみです。
"%1 is not an allowed file type. Please select a different file.","%1 は許可されているファイルの種類ではありません。別のファイルを選択してください。"
"Allowed file formats: %1.",許可されているファイル形式です。%1.
"Quotes Section",引用符セクション
"Negotiable Quotes",交渉可能な引用符
"Order status",注文状況
"Your search did not return any results.",検索しても結果が出ませんでした
"Product name/sku",製品名/スク
"Product Name/SKU",製品名/SKU
"Search by SKU or Product Name",SKUまたは製品名で検索
"Order Number",注文番号
"Enter full or partial number...",全数または一部の番号を入力してください...
"Invoice Number",請求書番号
"Invoice number",請求書番号
Min,最小　
"Order total minimum",最低注文合計
Max,最大
"Order total maximum",注文総数の最大値
"The 'Min' value must be lower than the 'Max' value.",Min'値は'Max'値より低くなければなりません
"Please enter a valid number in this field. Enter only digits (0-9).",このフィールドに有効な数値を入力してください。数字（0～9）のみ入力してください。
"Enter a valid date.",有効な日付を入力してください
"The 'From' date must precede the 'To' date.",'From'の日付は'To'の日付より前に入力してください。
"My Purchase Orders",マイ注文書
"By %1",1%で
"Your Purchase Order has been submitted for approval.",発注書は承認のために提出されました
"Purchase Order # %1","発注書番号 %1"
"Comment added successfully.",コメントの追加に成功しました
"We cannot comment the purchase order right now.",現在、購入注文のコメントはできません。
"Some Item(s) are not available and are not added into the shopping cart.",一部の商品は利用できず、ショッピングカートに追加されていません。
"Purchase order has been successfully approved.",購入注文は正常に承認されました。
"Purchase order has been approved by ",購入注文は承認されました。
"Unable to approve purchase order.",購入注文を承認できません。
"%1 Purchase Order has been successfully approved","%1 購入注文は正常に承認されました"
"%1 Purchase Orders have been successfully approved","%1 発注書が正常に承認されました"
"The Purchase Order #%1 couldn't be approved",発注書#%1が承認されませんでした
"Purchase order is successfully canceled.",発注のキャンセルに成功しました
"Purchase order cannot be canceled",注文をキャンセルすることはできません
"Successfully placed order #%1 from purchase order #%2.",購入注文#%2から注文#%1を正常に発注しました
"Purchase order has been successfully rejected.",購入注文は正常に拒否されました。
"Unable to reject purchase order.",購入注文を拒否できません。
"%1 Purchase Order has been successfully rejected","%1 購入注文は正常に拒否されました。"
"%1 Purchase Orders have been successfully rejected","%1 購入注文が正常に拒否されました。"
"The Purchase Order #%1 couldn't be rejected",注文書#%1は拒否できませんでした
"Requested purchase order was not found",要求された発注書が見つかりませんでした
"There was an error saving purchase order configuration for this company.",この会社の発注設定の保存にエラーがありました
"Approval Required",承認が必要
"Approved - Ordered",稟議書
"Approved - Order Failed",承認されましたが、命令は失敗しました
"Configuration provider is not set for %1","構成プロバイダが %1 に設定されていません。"
"Notification Queue Message is not fulfilled properly",通知キューメッセージが正しく満たされていません
"Order cannot be placed with purchase order #%1.",購入注文#%1で注文ができません。
"An error occurred on the server. Please try again.",サーバーでエラーが発生しました。再度お試しください。
"Purchase order %1 cannot be canceled.","購入注文 %1 はキャンセルできません。"
"Purchase order %1 cannot be rejected.","購入注文 %1 は拒否できません。"
"Purchase order %1 cannot be approved.","購入注文 %1 を承認できません。"
"Unable to approve purchase order. %1",購入注文を承認できません。%1
"Unable to set purchase order approval required status. %1",購入注文の承認が必要なステータスを設定できません。%1
"There is some error while processing request, please try later.",リクエストの処理中にエラーが発生しました、後でお試しください
"Customer is not a member of a company that has purchase orders enabled.",お客様は購入注文を有効にしている会社のメンバーではありません。
"An error occurred on the server. Please try to place the Purchase Order again.",サーバーでエラーが発生しました。再度発注をお試しください。
"Cannot delete purchase order with id %1","ID %1で購入注文を削除できません"
"Purchase Order in Progress",進行中の発注書
"Purchase Order Number:",発注番号
"View Purchase Order",発注書を見る
"Your Purchase Order request number is %1","発注依頼番号は %1です"
"A copy of this Purchase Order will be emailed to you shortly.",この注文書のコピーをメールでお送りします
" Comment"," コメント"
"Add Comment",コメントの追加
"No payment information available",支払い情報がありません
"Purchase Order #%1",発注書#%1
"Placed on %1 by %2","%1 に %2 が配置されました"
"Approve Purchase Order",発注書の承認
"Reject Purchase Order",発注拒否
"Cancel Purchase Order",発注取消
"Add Items to Shopping Cart",ショッピングカートに商品を追加する
"View Negotiable Quote",交渉可能な見積もりを見る
"Shipping and Payment Information",発送とお支払いのご案内
"Purchase Order #%increment_id is ready for your approval","発注書 #%increment_id は承認の準備ができています"
"%recipient_full_name,","%recipient_full_name,"
"%buyer_full_name placed a Purchase Order that requires your approval.","%buyer_full_nameは承認を必要とする 発注書を発注しました"
"<a href=""%purchase_order_view_url"">Review Purchase Order</a>","<a href=""%purchase_order_view_url"">購入注文の見直し</a>"
"The Purchase Order details are below.",注文書の詳細は以下の通りです
"You can approve or decline the Purchase Order by following this link:",このリンクをクリックすることで、購入注文を承認または拒否することができます：
"<a href=""%purchase_order_view_url"">#%increment_id</a>","<a href=""%purchase_order_view_url"">#%increment_id</a>"
"Purchase Order #%increment_id has been Created and has been sent for approval","発注書 #%increment_id が作成され、承認のために送信されました"
"Your Purchase Order requires approval from:",発注書には以下の承認が必要です。
"You will receive an email at each approval stage. Once the Purchase Order has been approved, it will be processed immediately.",各承認段階でメールが届きます。注文書が承認されると、すぐに処理されます。
"Purchase Order #%increment_id has been Approved",発注書#%increment_idが承認されました
%buyer_full_name,買い手のフルネーム
"Your Purchase Order <a href=""%po_url"">#%po_id</a> has been approved by %approver_full_name.","あなたの購入注文<a href=""%po_url"">#%po_id</a>は%approver_full_nameによって承認されました。"
"You will receive an e-mail with your Order confirmation shortly.",まもなく注文確認のメールが届きます。
"Your Purchase Order details are below.",ご注文の詳細は以下の通りです。
"Purchase Order #%increment_id has been Created and Approved automatically","購入注文 #%increment_id が作成され、自動的に承認されました"
"Comment added to Purchase Order #%increment_id","注文書に追加されたコメント #%increment_id"
%recipient_full_name,領収書のフルネーム
"A comment was added to Purchase Order <a href=""%purchase_order_view_url"">#%increment_id</a>","注文書<a href=""%purchase_order_view_url"">#%increment_id</a>にコメントが追加されました"
"by %commenter_full_name:","by %commenter_full_name:"
"Purchase Order #%increment_id has Failed","購入注文 #%increment_id は失敗しました"
"Purchase Order <a href=""%purchase_order_view_url"">#%increment_id</a>","発注書 <a href=""%purchase_order_view_url"">#%increment_id</a>"
"was approved but an error occurred when converting it to an Order.",承認されましたが、注文に変換する際にエラーが発生しました
"Check the Purchase Order History Logs or with your company administrator.",発注履歴ログを確認するか、会社の管理者に確認してください。
"To reorder, please create a new Purchase Order.",再注文するには、新しい発注書を作成してください。
"Purchase Order #%increment_id has been Rejected",注文書#%increment_idが拒否されました
"Your Purchase Order <a href=""%purchase_order_view_url"">#%increment_id</a>","あなたの購入注文 <a href=""%purchase_order_view_url"">#%increment_id</a>"
"has been rejected by %rejecter_full_name.",%rejecter_full_nameによって拒否されました。
"Place Purchase Order",発注を行う
"The shopping cart is not empty",ショッピングカートは空ではありません
"You have items in your shopping cart. Would you like to merge the items in this Purchase Order with the items in the shopping cart or replace them?",ショッピングカートに商品が入っています。この注文書内の商品をショッピングカート内の商品と統合しますか、または交換しますか？
"Review Purchase Order",注文書を確認する
"Order Approval Configuration",注文承認設定
"Enable Purchase Orders",発注を有効にする
"Purchase Orders are enabled at the Company level. Turn on 'Enable Purchase Orders' at Customers > Companies > Company Name > Edit > Advanced Settings for each company that supports Purchase Orders.",発注書は会社レベルで有効になっています。発注書をサポートしている各企業の「顧客」＞「会社」＞「会社名」＞「編集」＞「詳細設定」で「発注書を有効にする」をオンにしてください。
"Purchase Order Approval",発注書の承認
"Created and requires Approval Purchase Order (to Buyer)",発注書を作成し、承認を必要とする（買手へ）
"Created and Automatically approved Purchase Order (to Buyer)",発注書の作成と自動承認（バイヤーへの発注）
"Approved Purchase Order (to Buyer)",承認済み発注書（買主へ）
"Rejected Purchase Order (to Buyer)",発注拒否（買主へ）
"Comment added to Purchase Order",注文書にコメントを追加しました
"Error creating Order from Purchase Order (to Buyer)",発注書から発注書を作成する際にエラーが発生しました。
"Purchase Order requires Approval (to Approver)",発注書には承認が必要です（承認者へ）
"Order Approvals",命令の承認
"View my Purchase Orders",私の発注書を見る
"View for subordinates",部下を見る
"View for all company",全社表示
"Auto-approve POs created within this role",このロール内で作成されたPOを自動承認する
"Purchase Order #%increment_id was Submitted","発注書 #%increment_id が提出されました"
"Failed to create Order from Purchase Order #%increment_id with Error - %error_message","Failed to create Order from Purchase Order #%increment_id with Error - %error_message"
"Purchase Order #%increment_id was automatically approved","発注書 #%increment_id が自動的に承認されました"
"Successfully created Order #%order_increment_id from Purchase Order #%increment_id","Purchase Order #%increment_idからOrder #%order_increment_idを作成しました"
"Purchase Order #%increment_id was Rejected","発注書 #%increment_id が拒否されました"
"Purchase Order #%increment_id was Approved",発注書#%increment_idが承認されました
"Purchase Order #%increment_id was Canceled","発注書 #%increment_id がキャンセルされました"
"Company Purchase Orders",会社の発注書
"Purchase Order Items",発注品目
"This action cannot be undone. Are you sure you want to approve the selected purchase orders?",このアクションは元に戻すことはできません。選択した発注書を承認してもよろしいですか？
"Approve Selected",選択した発注を承認する
"PO #",私書箱番号
"Pending Approval from %1","%1 からの承認を保留中"
"%1 rejected this purchase order on %2","%1 は %2 でこの購入注文を拒否しました。"
"%1 approved this purchase order on %2","%1 は %2 でこの購入注文を承認しました。"
"Unknown Role",不明な役割
"Unknown Customer",不明な顧客
"%1 at %2","%1 at %2"
"Create New Approval Rule",新しい承認ルールの作成
"The approval rule has been updated.",承認ルールが更新されました
"The approval rule has been created.",承認ルールが作成されました
"An unknown error occurred while creating the rule.",ルールの作成中に未知のエラーが発生しました
"Required field is not complete.",必須項目が完全ではありません
"Rule conditions have not been configured.",ルールの条件が設定されていません
"At least one approver is required to configure this rule.",このルールを設定するには、少なくとも1人の承認者が必要です。
"This rule must apply to at least one or all roles.",このルールは、少なくとも1つまたはすべてのロールに適用する必要があります。
"One of the ""Applies To"" roles does not exist.","適用先 ロールの1つが存在しません。"""
"This rule name already exists. Enter a unique rule name.",このルール名はすでに存在します。固有のルール名を入力してください。
"The approver role which was selected does not exist.",選択した承認者ロールが存在しません。
"Required data is missing from a rule condition.",ルールの条件に必要なデータがありません。
"The selected rule does not exist.",選択したルールが存在しません
"The rule has been deleted.",ルールを削除しました。
"Edit Approval Rule",承認ルールを編集する
"Approval Rules",承認規則
"Purchase order has been successfully validated.",購入注文は正常に認証されました
"Unable to validate purchase order.",購入注文を有効にすることができません
"View Approval Rule",承認ルールの表示
"Could not save the applied rule approver: %1","適用されたルール承認者を保存できませんでした: %1"
